time,val_accuracy
0.0,0.0
28.2,0.4865
42.4,0.7377
53.0,0.8085
63.8,0.7581
74.7,0.7866
85.2,0.8689
95.6,0.8183
106.0,0.8586
116.4,0.7885
127.0,0.8507
