time,val_accuracy
0.0,0.0
31.7,0.2965
45.7,0.663
56.3,0.521
66.9,0.8389
77.8,0.742
88.5,0.8718
98.9,0.8422
109.5,0.8741
119.8,0.8371
130.3,0.8493
